FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
8057,Jackson County,Colorado,0.38225999999999993,0.8781,0.049,0.3824,0.1085,Tier 3: Moderate
8059,Jefferson County,Colorado,0.22403,0.1193,0.0337,0.5829,0.2164,Tier 4: Low
8061,Kiowa County,Colorado,0.34242,0.5024,0.4785,0.2214,0.1724,Tier 3: Moderate
8063,Kit Carson County,Colorado,0.6116,0.5756,0.9211,0.5829,0.4604,Tier 2: High
8065,Lake County,Colorado,0.2698,0.2342,0.0165,0.776,0.1368,Tier 3: Moderate
8067,La Plata County,Colorado,0.41797999999999996,0.2965,0.0108,0.5797,0.7031,Tier 3: Moderate
8069,Larimer County,Colorado,0.30032000000000003,0.2676,0.0105,0.5161,0.3824,Tier 3: Moderate
8071,Las Animas County,Colorado,0.84325,0.8645,0.9065,0.8571,0.7706,Tier 1: Critical
8073,Lincoln County,Colorado,0.45572999999999997,0.4197,0.0528,0.6045,0.6612,Tier 3: Moderate
8075,Logan County,Colorado,0.5776399999999999,0.4327,0.2135,0.5867,0.9593,Tier 2: High
8077,Mesa County,Colorado,0.6112500000000001,0.5772,0.6497,0.5371,0.6691,Tier 2: High
8079,Mineral County,Colorado,0.18663,0.4878,0.0083,0.1654,0.0185,Tier 4: Low
8081,Moffat County,Colorado,0.73638,0.7003,0.8944,0.5501,0.7913,Tier 2: High
8083,Montezuma County,Colorado,0.5829799999999999,0.567,0.6382,0.6516,0.5164,Tier 2: High
8085,Montrose County,Colorado,0.49689999999999995,0.6013,0.7337,0.6102,0.1591,Tier 3: Moderate
8087,Morgan County,Colorado,0.786,0.706,0.8075,0.8116,0.8346,Tier 1: Critical
8089,Otero County,Colorado,0.8947399999999999,0.8479,0.9551,0.8651,0.9211,Tier 1: Critical
8091,Ouray County,Colorado,0.16933,0.307,0.064,0.2587,0.0423,Tier 4: Low
8093,Park County,Colorado,0.11529,0.1374,0.0092,0.3592,0.0013,Tier 4: Low
8095,Phillips County,Colorado,0.43873000000000006,0.4868,0.5348,0.6624,0.1775,Tier 3: Moderate
8097,Pitkin County,Colorado,0.21156999999999998,0.0897,0.0124,0.5119,0.266,Tier 4: Low
